%time,field.header.seq,field.header.stamp,field.header.frame_id,field.positioning_dim,field.latitude,field.longitude,field.height,field.latitude_error,field.longitude_error,field.height_error,field.gps_connection_status,field.antena_status_open,field.antena_status_short
1634523330244469237,6871,1634523330244347475,gps_m2/gps,3,35.0188381,137.1425344,39.2070007324,0.558690786362,0.512384295464,1.22661066055,2,1,1
1634523331244473945,6872,1634523331244346881,gps_m2/gps,3,35.018952,137.1427871,39.3880004883,0.558236658573,0.511400222778,1.22442615032,2,1,1
1634523332244512712,6873,1634523332244386078,gps_m2/gps,3,35.0190663,137.1430403,39.6010017395,0.557339310646,0.510353624821,1.22216296196,2,1,1
1634523333244334223,6874,1634523333244238582,gps_m2/gps,3,35.0191807,137.1432937,39.8320007324,0.556271970272,0.509365797043,1.2197663784,2,1,1
1634523334244415752,6875,1634523334244324076,gps_m2/gps,3,35.0192947,137.1435469,40.0989990234,0.555435717106,0.508325695992,1.21703219414,2,1,1
1634523335245788427,6876,1634523335245372231,gps_m2/gps,3,35.0194078,137.1437985,40.3790016174,0.555254340172,0.507788658142,1.21452271938,2,1,1
1634523336244464587,6877,1634523336244318975,gps_m2/gps,3,35.0195197,137.1440482,40.6290016174,0.555054485798,0.507344484329,1.21343839169,2,1,1
1634523337244405694,6878,1634523337244313055,gps_m2/gps,3,35.0196304,137.1442958,40.8310012817,0.554268717766,0.506671190262,1.21195697784,2,1,1
1634523338246407330,6879,1634523338246264252,gps_m2/gps,3,35.0197407,137.144542,41.0279998779,0.553643226624,0.506070315838,1.21075165272,2,1,1
1634523339244619918,6880,1634523339244374237,gps_m2/gps,3,35.019851,137.1447874,41.2770004272,0.55345416069,0.505507051945,1.20990467072,2,1,1
1634523340244759483,6881,1634523340244423215,gps_m2/gps,3,35.0199614,137.1450323,41.5379981995,0.554147303104,0.505289435387,1.21087503433,2,1,1
1634523341245157254,6882,1634523341245056202,gps_m2/gps,3,35.0200729,137.1452771,41.8100013733,0.555404067039,0.505418419838,1.21243929863,2,1,1
1634523342245425258,6883,1634523342245295114,gps_m2/gps,3,35.0201859,137.1455217,42.0499992371,0.556012392044,0.505233705044,1.21240222454,2,1,1
1634523343244600218,6884,1634523343244461531,gps_m2/gps,3,35.0203011,137.1457651,42.3310012817,0.556187093258,0.505247533321,1.21458876133,2,1,1
1634523344245219557,6885,1634523344244998873,gps_m2/gps,3,35.0204185,137.1460074,42.6040000916,0.556602060795,0.505500257015,1.21718883514,2,1,1
1634523345254472841,6886,1634523345250743620,gps_m2/gps,3,35.0205385,137.146248,42.7410011292,0.557041227818,0.505353450775,1.21876585484,2,1,1
1634523346244605659,6887,1634523346244381724,gps_m2/gps,3,35.0206607,137.1464873,42.8639984131,0.558581888676,0.505438745022,1.22133123875,2,1,1
1634523347244428317,6888,1634523347244344152,gps_m2/gps,3,35.0207835,137.1467257,42.90599823,0.580494463444,0.51851439476,1.24958455563,2,1,1
1634523348248020762,6889,1634523348247852931,gps_m2/gps,3,35.0209086,137.1469648,42.7050018311,0.612517178059,0.546300292015,1.30670428276,2,1,1
